title,reply,cluster
我的哥哥，无证驾驶撞死人，会被怎么处罚,无证驾驶撞人，构成交通肇事罪，一般来说没有加重情节的话应该判刑3年以下。根据《中华人民共和国刑法》第一百三十三条规定，违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的，处三年以下有期徒刑或者拘役;交通运输肇事后逃逸或者有其他特别恶劣情节的，处三年以上七年以下有期徒刑;因逃逸致人死亡的，处七年以上有期徒刑。,7
医患双方和解有什么法律效力,医患双方的和解，在《医疗事故处理条例》第46条中有明确规定，发生医疗事故的赔偿等民事责任争议，医患双方可以协商解决。协商解决医疗纠纷是司法自治原则的具体体现。民事主体可以在符合法律规定的范围内自由处分自己的民事权利，因此医患双方当事人可以在法律允许的范围内对医疗事故的赔偿等责任的争议通过自行协商的方式加以解决。医患双方协商的成果协议书，具有民事合同的性质。因此，协议一经达成，双方当事人应当自觉履行。但是，由于其是一种私下协议，因此，对人民法院审理案件不具有约束力，任何一方当事人在协议达成后，仍然可以协议存在重大误解、显失公平等提起诉讼，不能因此产生剥夺或者限制一方当事人诉权的法律效力。但是和解协议书毕竟属于双方的和约，因此，对于已经达成协议的案件的审理，原则上人民法院应当按照合同纠纷来审理。不再按医疗赔偿合同纠纷案件审理。但调解协议无效或者需要撤销的除外。,10
什么是司法鉴定，申请司法鉴定的程序是怎样的,司法鉴定，是指在诉讼活动中鉴定人运用科学技术或者专门知识对诉讼涉及的专门性问题进行鉴别和判断并提供鉴定意见的活动。司法鉴定程序，是指司法鉴定机构和司法鉴定人进行司法鉴定活动的方式、步骤以及相关规则的总称。法条链接：司法部《司法鉴定程序通则》1、第二条司法鉴定是指在诉讼活动中鉴定人运用科学技术或者专门知识对诉讼涉及的专门性问题进行鉴别和判断并提供鉴定意见的活动。司法鉴定程序是指司法鉴定机构和司法鉴定人进行司法鉴定活动的方式、步骤以及相关规则的总称。2、第十一条司法鉴定机构应当统一受理办案机关的司法鉴定委托。3、第十二条委托人委托鉴定的，应当向司法鉴定机构提供真实、完整、充分的鉴定材料，并对鉴定材料的真实性、合法性负责。司法鉴定机构应当核对并记录鉴定材料的名称、种类、数量、性状、保存状况、收到时间等。诉讼当事人对鉴定材料有异议的，应当向委托人提出。本通则所称鉴定材料包括生物检材和非生物检材、比对样本材料以及其他与鉴定事项有关的鉴定资料。4、第十三条司法鉴定机构应当自收到委托之日起七个工作日内作出是否受理的决定。对于复杂、疑难或者特殊鉴定事项的委托，司法鉴定机构可以与委托人协商决定受理的时间。5、第十四条司法鉴定机构应当对委托鉴定事项、鉴定材料等进行审查。对属于本机构司法鉴定业务范围，鉴定用途合法，提供的鉴定材料能够满足鉴定需要的，应当受理。对于鉴定材料不完整、不充分，不能满足鉴定需要的，司法鉴定机构可以要求委托人补充；经补充后能够满足鉴定需要的，应当受理。6、第十五条具有下列情形之一的鉴定委托，司法鉴定机构不得受理：（一）委托鉴定事项超出本机构司法鉴定业务范围的；（二）发现鉴定材料不真实、不完整、不充分或者取得方式不合法的；（三）鉴定用途不合法或者违背社会公德的；（四）鉴定要求不符合司法鉴定执业规则或者相关鉴定技术规范的；（五）鉴定要求超出本机构技术条件或者鉴定能力的；（六）委托人就同一鉴定事项同时委托其他司法鉴定机构进行鉴定的；（七）其他不符合法律、法规、规章规定的情形。7、第十六条司法鉴定机构决定受理鉴定委托的，应当与委托人签订司法鉴定委托书。司法鉴定委托书应当载明委托人名称、司法鉴定机构名称、委托鉴定事项、是否属于重新鉴定、鉴定用途、与鉴定有关的基本案情、鉴定材料的提供和退还、鉴定风险，以及双方商定的鉴定时限、鉴定费用及收取方式、双方权利义务等其他需要载明的事项。8、第十七条司法鉴定机构决定不予受理鉴定委托的，应当向委托人说明理由，退还鉴定材料。9、第十八条司法鉴定机构受理鉴定委托后，应当指定本机构具有该鉴定事项执业资格的司法鉴定人进行鉴定。委托人有特殊要求的，经双方协商一致，也可以从本机构中选择符合条件的司法鉴定人进行鉴定。委托人不得要求或者暗示司法鉴定机构、司法鉴定人按其意图或者特定目的提供鉴定意见。,3
知识产权贯标条件条件是什么？需要什么资料吗？,条件：1.建立文件化的知识产权管理体系并实施运行三个月以上2.至少完成一次内部审核和管理评审3.知识产权管理体系运行期间及建立体系前的一年内未受到主管部门行政处罚。中规公司的认证申请要求的条件是完全一样的。,8
离婚财产法院判决后，对方没有钱给，可以分期吗,生效法律文书中具有履行义务的人在规定的期限内未履行，享有权利的一方可以申请法院强制执行。在强制执行过程中，发现被申请人确实没有可执行的财产，双方可以在执行法官的主持下达成执行和解，确定还款时间、方式。总之，是否愿意接受分期，是债权人的权利。,4
"房屋确权案被告赢了,律师费谁出",败诉不一定要承担对方的律师费，要看之前是否对律师费谁承担有明确约定,11
私自倒卖柴油什么罪怎么处罚要判刑吗,根据法律规定，如果没有许可证，个人倒卖柴油是违法的。如果买卖的数量较大，涉嫌构成非法经营罪。根据我国刑法，根据情节严重程度予以处罚，具体规定如下：《刑法》第二百二十五条违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；（二）买卖进出口许可证、进出口原产地证明以及萁他法律、行政法规规定的经营许可证或者批准文件的；（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；（四）其他严重扰乱市场秩序的非法经营行为。,3
法院判决赔偿款收条应该怎么写,收条今收到XXX赔偿金人民币XXX元整，特立此为证。赔偿人签字：XXX查收人签字：XXX日期:XXXX年XX月XX日,3
怎样理解依法纳税是公民的基本义务,"我国社会主义税收取之于民,用之于民.在我国,国家利益、集体利益、个人利益在根本上是一致的.国家的兴旺发达、繁荣富强与每个公民息息相关；而国家职能的实现,必须以社会各界缴纳的税收为物质基础.因而,在我国每个公民都应自觉纳税.每个公民都应该具有主人翁意识,依法纳税是公民的义务.自觉纳税是公民社会责任感和国家主人翁地位的具体体现,每个公民应该自觉诚实纳税,履行公民的基本义务.在现实生活中,一些单位和个人存在偷漏税、欠税、骗税、抗税的违反税法的现象.这些行为,即危害社会经济健康发展、国家和人民的根本利益,也直接影响个人的健康成长.因而,我们必须坚决同任何违反税法的行为作斗争,以维护国家的根本利益.要以主人翁的态度和高度责任感,积极关注国家对税收的征管和使用,以维护公民自身的合法权益.",10
在一个事业单位工作7年了，刚续聘5年，如果单位想辞退我会怎么做？会有什么损失？怎么把,"根据《劳动合同法》第46条规定,用人单位按照上述第36条、第40条、第41条的规定解除劳动关系的,应当向劳动者支付经济补偿。第47条规定,经济补偿按劳动者在本单位工作的年限,每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的,按一年计算;不满六个月的,向劳动者支付半个月工资的经济补偿。月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。除了上述情形以外,用人单位辞退员工的,就属于违法解除劳动合同,要按照经济补偿标准的二倍向劳动者支付赔偿金,即按劳动者在本单位工作的年限,每满一年支付二个月工资的标准向劳动者支付。六个月以上不满一年的,按一年计算;不满六个月的,向劳动者支付一个月工资的赔偿金。",9
临时工上班时受伤算工伤吗，因此不能上班有误工费吗,1、临时工受伤，误工费按临时工的工资收入全额赔偿；2、临时工是一个俗称，不是法律名称，所有与用人单位建立劳动关系的劳动者，都受到法律的保护，临时工也是劳动者的一分子，受伤后可以申请工伤认定，停工留薪期间，工资待遇不变，由用人单位按月支付；3、法律依据《工伤保险条例》第十四条职工有下列情形之一的，应当认定为工伤：（一）在工作时间和工作场所内，因工作原因受到事故伤害的；（二）工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的；（三）在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的；（四）患职业病的；（五）因工外出期间，由于工作原因受到伤害或者发生事故下落不明的；（六）在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的；（七）法律、行政法规规定应当认定为工伤的其他情形。第三十三条职工因工作遭受事故伤害或者患职业病需要暂停工作接受工伤医疗的，在停工留薪期内，原工资福利待遇不变，由所在单位按月支付。,1
检察院自侦案件取保候审是否有保证人权利义务告知书,是的，检察院邮寄来一份犯罪嫌疑人权利义务告知书，意思是说检察院要将案子起诉到法院了，犯罪嫌疑人可以请律师作为开庭准备，有什么问题可以反映给检察院。,0
如何对付欠钱不还的人,1、对于欠债不还的，你可以选择起诉，前提是有证据，并且在诉讼时效以内。2、证据包括欠条、录音、付款凭证等都可以，而且借据要是原始的，不能经过任何的涂改或者复印等加工。3、注明还款日期的，诉讼时效从借条到期之日起两年内；没有还款日期的，随时可以要求还款，从第一次追讨之日起两年内就可以。4、法院判决后，如果对方不还可以申请法院强制执行，对债务人恶意拖欠的还可以拘留。债务人去世的，可以从其遗产中进行清偿。,11
暴力袭击正在执行公务的警察,一、《中华人民共和国人民警察法》第三十五条拒绝或者阻碍人民警察依法执行职务，有下列行为之一的，给予治安管理处罚：（一）公然侮辱正在执行职务的人民警察的；（二）阻碍人民警察调查取证的；（三）拒绝或者阻碍人民警察执行追捕、搜查、救险等任务进入有关住所、场所的；（四）对执行救人、救险、追捕、警卫等紧急任务的警车故意设置障碍的（五）有拒绝或者阻碍人民警察执行职务的其他行为的。以暴力、威胁方法实施前款规定的行为，构成犯罪的，依法追究刑事责任。二、《中华人民共和国刑法》第二百七十七条第一款、第四款以暴力、威胁方法阻碍国家机关工作人员依法执行职务的，处三年以下有期徒刑、拘役、管制或者罚金。故意阻碍国家安全机关、公安机关依法执行国家安全工作任务，未使用暴力、威胁方法，造成严重后果的，依照第一款的规定处罚。三、《中华人民共和国治安管理处罚法》（2006年3月1日起执行）第五十条有下列行为之一的，处警告或者二百元以下罚款；情节严重的，处五日以上十日以下拘留，可以并处五百元以下罚款：（一）拒不执行人民政府在紧急状态情况下依法发布的决定、命令的；（二）阻碍国家机关工作人员依法执行职务的；（三）阻碍执行紧急任务的消防车、救护车、工程抢险车、警车等车辆通行的；（四）强行冲闯公安机关设置的警戒带、警戒区的。阻碍人民警察依法执行职务的，从重处罚。,5
犯罪心理与犯罪行为有哪些区别,理论上，具有犯罪心理不一定会有犯罪行为，比如思想犯罪不是犯罪；具有犯罪行为也不一定具有犯罪心理，比如，激情犯罪、误伤等，两者没有必然的联系。但客观上，犯罪心理催生犯罪行为，犯罪行为为下一次的犯罪心理提供实践基础。,10
儿子代款不还法院送起,1、无力偿还会面临法院后果的，建议及债权人积极协商，争取延迟还款。债权人也会起诉你，然后申请执行你的财产的。2、有能力而拒不执行的情况下，涉嫌拒不执行判决、裁定罪《刑法》第三百一十三条【拒不执行判决、裁定罪】对人民法院的判决、裁定有能力执行而拒不执行，情节严重的，处三年以下有期徒刑、拘役或者刑罚。3、另外名下没有可供执行的财产而他又拒绝履行法院的生效判决，则会有逾期还款等负面信息记录在个人的信用报告中并被限制高消费及出入境，甚至有可能会被司法拘留。,11
网贷还不上算诈骗吗诈骗的鉴别标准是怎样的,"一、网贷还不上算诈骗吗,诈骗的判断方式是怎样的根据司法实践，对于行为人通过诈骗的方法非法获取资金，造成数额较大资金不能归还，并具有下列情形之一的，可以认定为具有非法占有的目的：(1)明知没有归还能力而大量骗取资金的(2)非法获取资金后逃跑的(3)肆意挥霍骗取资金的(4)使用骗取的资金进行违法犯罪活动的(5)抽逃、转移资金、隐匿财产，以逃避返还资金的(6)隐匿、销毁账目，或者搞假破产、假倒闭，以逃避返还资金的(7)其他非法占有资金、拒不返还的行为。二、网贷不还影响征信1、如果一个人的个人征信出现了问题，在申请信用贷款的时候是肯定会被拒的。因为信用贷款，顾名思义就是凭借借款者的个人信用来获得贷款的，如果信用有问题，放款机构会觉得这类人还款意愿不强，贷款机构所要承担的风险就较大，所以无论是银行还是合格的小贷公司都不会把钱借给这样的人的。2、另外，个人征信除了会对信用贷款的申办有一定影响之外，办理房贷也是与个人征信的好坏挂钩的。一般在申请房贷的时候，银行首先就会查看借款者的征信报告，如果之前有过逾期情况并且情节严重(严重的标准就是近两年内连续逾期超过3次或者是累计逾期超过6次)的话，房贷也是很难的。不过，如果借款者之前逾期次数少、金额小的话，申办房贷还是有希望的，不过可能贷款利率会比一般人高一些，额度上也会有所下降。",3
我在恒昌公司借了四万五三年要还八万多算不算高利贷,民间借贷属于民事行为，受到民法和合同法的约束和保护。但根据《合同法》第二百一十一条规定：“自然人之间的借款合同约定支付利息的，借款的利率不得违反国家有关限制借款利率的规定”。依据《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》，借贷双方约定的利率未超过年利率24%，出借人有权请求借款人按照约定的利率支付利息；但如果借贷双方约定的利率超过年利率36%，则超过年利率36%部分的利息应当被认定无效。《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十六条借贷双方约定的利率未超过年利率24%，出借人请求借款人按照约定的利率支付利息的，人民法院应予支持。借贷双方约定的利率超过年利率36%，超过部分的利息约定无效。借款人请求出借人返还已支付的超过年利率36%部分的利息的，人民法院应予支持。,2
盗窃罪未遂既遂的认定是怎样的，盗窃罪未遂能够判,盗窃罪的既遂与未遂应当按照法律规定界定。盗窃未遂是犯罪未遂的一种。刑法第二十三条第一款规定：“已经着手实行犯罪，由于犯罪分子意志以外的原因未得逞的，是犯罪未遂。”这是对犯罪未遂从主客观两个方面总的原则性界定。这一原则性界定也同样适用于盗窃未遂，即盗窃者实施盗窃时在客观上“已经着手”，但又“未得逞”，是盗窃未遂。,10
未到法定婚龄婚姻是否有效,法律规定，男不得早于二十二周岁，女不得早于二十周岁结婚。未达法定婚龄而登记结婚的，婚姻无效；如果未达法定婚龄、未办理登记结婚而以夫妻关系同居的，适用有关事实婚姻和同居关系的规定。一、法定结婚年龄我国婚姻法规定了法定婚龄。婚姻法第六条规定，结婚年龄，男不得早于二十二周岁，女不得早于二十周岁。二、未达法定婚龄而结婚的表现形式1、通过欺骗、弄虚做假等手段办理结婚登记，取得结婚证的；2、当事人双方或一方未达法定婚龄，尚未办理结婚登记，但公开以夫妻关系共同生活而形成的事实婚姻。三、未达法定结婚年龄而结婚的效力1、未达法定婚龄而登记结婚的，适用无效婚姻的规定。有权请求宣告婚姻无效的主体为婚姻当事人及未达法定婚龄者的近亲属。请求权人申请宣告婚姻无效只能在婚姻当事人一方未到法定婚龄之前提出，如果婚姻当事人双方已经达到法定婚龄，法定的无效婚姻情形已经消失，其婚姻转化为有效婚姻。2、未达法定婚龄、未办理登记结婚而以夫妻关系同居的，适用有关事实婚姻和同居关系的规定。对于1994年2月1日之前达到法定婚龄的，按事实婚姻处理；1994年2与1日以后达到法定婚龄的，应当补办结婚登记，不补办的，婚姻无效，按同居关系处理。相关法条链接婚姻法第十条有下列情形之一的，婚姻无效：(一)重婚的；(二)有禁止结婚的亲属关系的；(三)婚前患有医学上认为不应当结婚的疾病，婚后尚未治愈的；(四)未到法定婚龄的。,0
轻伤二级要赔偿多少钱,致人轻伤，应当按照法律赔偿，法律没有规定赔偿具体的数字，应当以实际造成为赔偿标准。《侵权责任法》第十六条侵害他人造成人身损害的，应当赔偿医疗费、护理费、交通费等为治疗和康复支出的合理费用，以及因误工减少的收入。造成残疾的，还应当赔偿残疾生活辅助具费和残疾赔偿金。造成死亡的，还应当赔偿丧葬费和死亡赔偿金。,11
欠条过期两年还有效吗,如果约定了还款期，则适用两年，如果没有约定，可随时要求还款，但要给一定期限。且即使约定时间，还要看有没有时效中断等法定因素,8
未签劳动合同，自动离职可以要求赔偿吗,单位在员工入职一个月内未与员工签订劳动合同，员工是可以申请劳动仲裁要求单位支付未签订劳动合同期间的双倍工资的。如果超过一年未签订合同，那么默认为无固定期限劳动合同。,8
我朋友初次卖淫被抓送到了拘留所关多久时间,现在对卖淫的处罚1、《治安管理处罚法》第六十六条规定：卖淫、嫖娼的，处十日以上十五日以下拘留，可以并处五千元以下罚款;情节较轻的，处五日以下拘留或者五百元以下罚款。在公共场所拉客招嫖的，处五日以下拘留或者五百元以下罚款。2、在以前，第一次卖淫被抓的，一般处以拘留、罚款；再次被抓的，属于屡教不改，一般是处以6个月到2年的劳动教养。现在没有劳动教养了。对于卖淫、嫖娼的，只能处：十日以上十五日以下拘留，可以并处五千元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。,7
上班期间因私人原因摔倒工伤案例怎么赔偿,职工有下列情形之一的，应当认定为工伤：（一）在工作时间和工作场所内，因工作原因受到事故伤害的；（二）工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的；（三）在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的；（四）患职业病的；（五）因工外出期间，由于工作原因受到伤害或者发生事故下落不明的；（六）在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的；（七）法律、行政法规规定应当认定为工伤的其他情形。因私人原因摔倒得结合具体情况判断是否属于工伤才能判断是否涉及赔偿问题。,3
法院罚金不交会影响立功减刑吗,自首减40%以下，犯罪较轻的减40%以上或者免除处罚，一般立功减20%，重大立功减20%-50%，主动退赃减30%以下其中抢劫等严重危害社会治安犯罪的应从严掌握,6
盗窃涉案金额7万元，罚金要交多少钱,盗窃涉案七万元，罚金在一千元以上十四万元以下，由法官根据案情自由裁量。法律规定：《最高人民法院最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第十四条因犯盗窃罪，依法判处罚金刑的，应当在一千元以上盗窃数额的二倍以下判处罚金；没有盗窃数额或者盗窃数额无法计算的，应当在一千元以上十万元以下判处罚金。,11
所有劳动收入都属工资范围吗,劳动者的以下劳动收人不属于工资范围：1、单位支付给劳动者个人的社会保险福利费用，如丧葬抚恤救济费、生活困难补助费、计划生育补贴等;2、劳动保护方面的费用，如用人单位支付给劳动者的工作服、解毒剂、清凉饮料费用等;3、按规定未列人工资总额的各种劳动报酬及其他劳动收入，如根据国家规定发放的创造发明奖、国家星火奖、自然科学奖、科学技术进步奖、合理化建议和技术改进奖、中华技能大奖等，以及稿费、讲课费、翻译费等,8
打架鼻骨打塌了要陪多少钱合理,打架致人轻伤，涉嫌故意伤害罪，应当及时向公安机关报案，公安机关应当立案侦查，对打人刑事拘留，并且警察就赔偿问题进行调节，可以要求赔偿治疗费、误工费、护理费、交通费等。,11
哪些罪时应当负刑事责任,根据我国的《刑法》规定，年满十四周岁，犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投毒罪的，应当负刑事责任。已满十六周岁的人犯罪，应当负刑事责任。间歇性的精神病人在精神正常的时候犯罪，应当负刑事责任。尚未完全丧失辨认或者控制自己行为能力的精神病人犯罪的，应当负刑事责任，但是可以从轻或者减轻处罚。醉酒的人犯罪，应当负刑事责任。又聋又哑的人或者盲人犯罪，可以从轻、减轻或者免除处罚。,10
离婚需要双方户口本吗,一、申请资格：根据《中华人民共和国婚姻法》和《婚姻登记管理条例》的规定，男女双方自愿离婚，并对子女抚养和财产处理达成协议，可往民政部门婚姻登记机关办理。二、所需材料：办理离婚登记，须提供如下证件：（1）户口本原件及复印件。（2）身份证原件及复印件（失业者还须持失业证）。（3）双方离婚介绍信。离婚介绍信应由：有单位的，由其所在单位人事部门出具；村民和个体劳动者、私营企业者、从业人员、失业人员等由其户口所在地村委会、居委会出具。(跨区应加盖街道办事处或镇婚姻登记专用章。)（4）双方各自的申请报告。申请报告内容包括各自陈述离婚意愿及原因。（5）双方达成协议的协议书，是双方对子女抚养、财产分割、债权债务处理及夫妻一方生活困难的经济帮助等作出的文字协议。（6）双方的《结婚证》(二份)。如《结婚证》遗失，需申请补办《夫妻关系证明书》，补办手续详见《办理(夫妻关系证明书)须知》。三、办理手续：（1）双方带齐证件，亲自到一方户口所在地的婚姻登记机关提出申请，填写申请书。（2）婚姻登记机关对申请离婚人士的材料进行审查，并自受理之日起30天，对符合离婚条件的申请给予答复并预约领证日期。（3）双方亲自到婚姻登记机关(办理协议书的法律公证，见证)出示户口本、身份证、证件相领取离婚证。,4
涉嫌强奸案立案后报案人可以销案吗和解吗,刑事犯罪警方立案以后，当事人无权销案，也不能私下和解,4
家要求退还彩礼这个答辩状怎么写，我,答辩状答辩人：，男/女，族，19年月日出生，住，公民身份号码。联系方式。被答辩人，女/男，族，19年月日出生，住，公民身份号码。联系方式。答辩人因与被答辩人纠纷一案，现答辩如下：被答辩人所诉不属实。事实与理由：综上所述，恳请人民法院依法裁判。此致人民法院具状人：2015年10月日,9
